Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,138.065644,-43.900791,90.0,bottom
C2,100n,C_0402_1005Metric,136.890644,-43.905788,90.0,bottom
C3,100n,C_0402_1005Metric,130.98564,-47.055789,0.0,bottom
C4,100n,C_0402_1005Metric,130.985641,-48.230781,0.0,bottom
C5,100n,C_0402_1005Metric,130.985639,-51.805797,0.0,bottom
C6,100n,C_0402_1005Metric,134.090639,-59.560787,270.0,bottom
C7,100n,C_0402_1005Metric,141.510521,-52.194395,180.0,bottom
C8,100n,C_0402_1005Metric,141.510526,-48.215785,180.0,bottom
C9,1u,C_0402_1005Metric,127.974835,-37.423427,270.0,bottom
C10,1u,C_0402_1005Metric,133.084833,-37.413427,90.0,bottom
C11,100n,C_0402_1005Metric,139.240643,-43.905795,90.0,bottom
C12,100n,C_0402_1005Metric,132.915637,-59.560787,270.0,bottom
C13,2.2u,C_0402_1005Metric,133.290628,-43.915788,90.0,bottom
C14,2.2u,C_0402_1005Metric,130.985631,-45.880784,0.0,bottom
C15,100n,C_0402_1005Metric,147.176389,-37.413425,90.0,bottom
C16,2.2u,C_0402_1005Metric,148.386392,-37.413425,90.0,bottom
C17,22p,C_0402_1005Metric,138.21335,-62.449621,180.0,bottom
C18,22p,C_0402_1005Metric,135.254834,-59.5664,90.0,bottom
D1,DIODE,D_SOD-123,25.058139,-16.45579,90.0,bottom
D2,DIODE,D_SOD-123,44.108138,-16.455791,90.0,bottom
D3,DIODE,D_SOD-123,64.345118,-17.928626,100.0,bottom
D4,DIODE,D_SOD-123,83.105717,-21.23661,100.0,bottom
D5,DIODE,D_SOD-123,101.866298,-24.544614,100.0,bottom
D6,DIODE,D_SOD-123,120.626882,-27.852611,100.0,bottom
D7,DIODE,D_SOD-123,158.934405,-26.624047,80.0,bottom
D8,DIODE,D_SOD-123,177.694994,-23.316047,80.0,bottom
D9,DIODE,D_SOD-123,196.455575,-20.008054,80.0,bottom
D10,DIODE,D_SOD-123,215.21617,-16.700056,80.0,bottom
D11,DIODE,D_SOD-123,235.560632,-16.074783,90.0,bottom
D12,DIODE,D_SOD-123,238.287198,-16.074793,90.0,bottom
D13,DIODE,D_SOD-123,273.660634,-16.455786,90.0,bottom
D15,DIODE,D_SOD-123,24.010393,-35.505801,90.0,bottom
D16,DIODE,D_SOD-123,45.441645,-35.505794,90.0,bottom
D17,DIODE,D_SOD-123,65.727266,-37.516197,100.0,bottom
D18,DIODE,D_SOD-123,84.487857,-40.824202,100.0,bottom
D19,DIODE,D_SOD-123,103.248448,-44.132207,100.0,bottom
D20,DIODE,D_SOD-123,122.009041,-47.44019,100.0,bottom
D21,DIODE,D_SOD-123,166.932547,-44.557638,80.0,bottom
D22,DIODE,D_SOD-123,185.693143,-41.249636,80.0,bottom
D23,DIODE,D_SOD-123,204.453722,-37.94164,80.0,bottom
D24,DIODE,D_SOD-123,223.214309,-34.633651,80.0,bottom
D25,DIODE,D_SOD-123,243.752144,-35.505801,90.0,bottom
D26,DIODE,D_SOD-123,269.945892,-35.505794,90.0,bottom
D27,DIODE,D_SOD-123,25.534398,-54.555792,90.0,bottom
D28,DIODE,D_SOD-123,51.728135,-54.555786,90.0,bottom
D29,DIODE,D_SOD-123,71.799555,-57.930791,100.0,bottom
D30,DIODE,D_SOD-123,90.560155,-61.238792,100.0,bottom
D31,DIODE,D_SOD-123,109.320754,-64.546792,100.0,bottom
D32,DIODE,D_SOD-123,128.081333,-67.854784,100.0,bottom
D33,DIODE,D_SOD-123,160.860255,-64.972216,80.0,bottom
D34,DIODE,D_SOD-123,179.62084,-61.664224,80.0,bottom
D35,DIODE,D_SOD-123,198.381434,-58.356228,80.0,bottom
D36,DIODE,D_SOD-123,217.142019,-55.04823,80.0,bottom
D37,DIODE,D_SOD-123,237.465639,-54.555801,90.0,bottom
D38,DIODE,D_SOD-123,240.000101,-54.555797,90.0,bottom
D39,DIODE,D_SOD-123,260.908759,-54.556984,90.0,bottom
D42,DIODE,D_SOD-123,44.108134,-73.605786,90.0,bottom
D43,DIODE,D_SOD-123,54.454804,-74.216316,100.0,bottom
D44,DIODE,D_SOD-123,84.974795,-79.597811,100.0,bottom
D45,DIODE,D_SOD-123,129.463492,-87.44237,100.0,bottom
D46,DIODE,D_SOD-123,159.478102,-84.559809,80.0,bottom
D47,DIODE,D_SOD-123,187.618994,-79.597813,80.0,bottom
D48,DIODE,D_SOD-123,197.423972,-77.868932,80.0,bottom
D49,DIODE,D_SOD-123,245.085631,-73.605799,90.0,bottom
J1,Conn_01x04,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,135.095645,-29.380781,180.0,bottom
R1,1k,R_0402_1005Metric,133.150525,-55.744394,0.0,bottom
R2,27,R_0402_1005Metric,135.685523,-43.919396,90.0,bottom
R3,27,R_0402_1005Metric,134.490633,-43.915786,90.0,bottom
R4,10k,R_0402_1005Metric,148.38639,-45.233424,270.0,bottom
R5,1k,R_0402_1005Metric,147.176391,-45.233424,90.0,bottom
R6,1k,R_0402_1005Metric,136.135526,-57.994399,0.0,bottom
SW54,SW_Push,SW_Push_1P1T_XKB_TS-1187A,139.640638,-71.605784,90.0,bottom
SW55,SW_Push,SW_Push_1P1T_XKB_TS-1187A,132.840642,-71.605791,90.0,bottom
U1,XC6206PxxxMR,SOT-23-3,130.537333,-36.933429,0.0,bottom
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,136.296889,-51.00579,0.0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,143.77063,-41.605789,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,137.984833,-60.236398,180.0,bottom
